Gene_name	FeAnBF	FeAnO	FeAnSF	FeAtO	FeAtSF	FeBrBF	FeBrO	FeBrSF	FeFLO	FeFLSF	FeHLBF	FeHLO	FeHLSF	FeMLO	FeMLSF	FeOsSF	FeOvO	FeOvSF	FePaSF	FeRsBF	FeRsSF	MaAn	MaAT	MaBr	MaFL	MaHL	MaML	MaRs
Ir7i	0.007153104	0.011198049	0.002354339	0	0	0.022561838	0.010446625	0.004740821	0.018602821	0.019845022	0.010253391	0.011232068	0.025306966	0.021662635	0.016425437	11.11447097	0.022391063	0.011792122	0.171168006	8.366172657	6.950491758	0.013529223	0	0	0	0.032417688	0.010512259	6.998658733
Ir7j	1.114309424	1.310685957	1.36429375	0.013775157	0	0.011448466	0	0.007216849	0.729992013	0.402795673	0.598325616	0.607940872	0.464625711	0.656390731	0.42506972	9.447352034	0.039766388	0.077787254	0.201137824	7.23122495	6.573028443	0.123571461	0	0	0.478113485	0.394789459	0.544087776	4.92171659
Ir7k	0.03208467	0.018602927	0.011733569	0	0	0.011244371	0	0.002362731	0.006180841	0.006593576	0.005110086	0	0.002293178	0.006169272	0	7.814640732	0	0	0.220001442	5.141987625	5.140271298	0.020228123	0	0	0.036830581	0	0.010478201	4.201299362
Ir7l	0.003513706	0.025669594	0.027755661	0.002667005	0.006099659	0	0.005131529	0.006986265	0.009137954	0.00649877	0.00503661	0.005517343	0.004520402	0	0.008068406	1.264725463	0	0	0.01327578	1.001473115	0.799953774	0	0	0	0.00907524	0.007961986	0	0.880348103
Ir7m	0.040732924	0.069563549	0.039001174	0.005621345	0.006428262	0.017519574	0.021631869	0.017179473	21.38874091	14.44427221	12.38873436	21.95007637	19.2749067	0.150591303	0.119043014	7.809036653	0.034773992	0.11598562	0.027981991	3.747285141	4.595435671	0.042022576	0	0	21.89233754	24.13793867	12.93009486	3.08828466
Ir7n	0.84740937	1.13818371	0.965279309	0.008389654	0.019187863	0.023242058	0.010761601	0.021976955	1.299937076	1.785389867	0.374970989	1.355704639	1.291649137	0.035067605	0.01692062	8.582214792	0.005766544	0.091107442	0.194889953	4.518703445	4.353052811	0.452957445	0.013305426	0.066401393	2.007895467	1.085340186	1.256188738	3.824924829
Ir7o	0.014077338	0.014691805	0.00231667	0	0	0.011100467	0.010279519	0.006997456	0.027457737	0.019527553	0.020178714	0.007368241	0.022638242	0.003045148	0	10.10736302	0.055082023	0.005801725	0.066485276	6.433865365	5.493425629	0	0	0	0	0.023924235	0	5.270125205
Ir7p	0.003690572	0.019258328	0.002429395	0	0	0.023281146	0.00538983	0	0.012797219	0.061433079	0.021160571	0.011590164	0.014243833	0.003193319	0	7.008924414	0.017328643	0	0.116200473	4.372222116	3.64644565	0	0	0.009501837	0.009532052	0.002787592	0	3.886993749
Ir7q	0.025877436	0.027007035	0.026768255	0.030865581	0.096261891	0.029150333	0.048590041	0.031851171	0.016023435	0.013674754	0.005299025	0.038698738	0.026157606	0.01599342	0	3.931919968	0.034715639	0.012188503	0.069837497	2.016837307	2.326863675	0	0.003337536	0.028553387	0.019096179	0.002792277	0	1.650893034
Ir7r	0.036967773	0.027006994	0.034068697	0	0	0	0.016196648	0.007350259	0.076912422	0.047861577	0.010598068	0.023219254	0.00475593	0	0	5.498281031	0	0	0.121051405	3.288664934	3.674577183	0.090895944	0	0	0.057288436	0.022338228	0.021731276	2.933009796
Ir87a1	6.85546802	9.595859709	9.353054641	0	0	0	0.009257455	0.027307539	0.008242586	0	0.009086227	0.019907006	0.006116227	0	0.007277841	0.130181816	0.014881657	0.088823229	0	0.031936463	0	6.50411385	0	0	0	0.004787912	0	0.00735267
Ir87a2	21.94131174	27.12885574	25.27951467	0.002433742	0	0.010113365	0.009365419	0.010625375	0.002779576	0.005930373	0.013788281	0.003356523	0	0.002774373	0.007362725	0.072781698	0.05520254	0.005285835	0	0.050771107	0.023855727	10.94640066	0	0	0	0.007265641	0	0.01859603
Ir8a	37.24616117	62.21968842	48.22016299	0.021919648	0.008355341	0.447842417	0.706433949	0.558240197	0.039637792	0.031157093	0.048294208	0.030230749	0.065016801	0.041645922	0.033156378	0.366774083	1.389857681	1.721793806	0.254593399	0.19745913	0.132496084	31.70702615	0.019554173	1.121466316	0.01243129	0.032719133	0	0.131197784
Ir93a	6.691858764	9.072057759	7.77800781	0.120344848	0.004368863	0.071441556	0.117614301	0.140109218	0.12653735	0.139641882	0.075756706	0.163340805	0.089037603	0.141543742	0.127137467	0.021762328	0.252092126	0.178399776	9.591165971	2.101188743	1.73012758	6.49263159	0.031809667	0.038877047	0.702014036	0.634907291	0.488207683	0.796940218
Or10	31.65988895	41.1070795	29.37039693	0.075484782	0.071086985	1.854377597	3.613876243	2.275878988	0.141994801	0.162296487	0.058697993	0.171468212	0.086549103	0.16197586	0.1611966	0.607028793	0.833189798	0.163945096	0	0.202102629	0.121867372	17.32694292	0.0211259	3.569558196	0.211530089	0.048604925	0.171942505	0.393564191
Or100	54.48774192	69.8762778	64.04233373	0.068888962	0.009267929	0.058937366	0.015593872	0.060152108	0	0	0	0.005588766	0	0	0	0.040394945	0	0.017602299	0.040343016	0.130647173	0.015888376	6.099002235	0.009639954	0.054981431	0	0	0.015691845	0.012385311
Or101	6.678054191	6.103185582	4.420334616	0.004013331	0.009178819	0	0	0.003504335	0	0	0	0	0	0	0	0	0	0	0	0	0	0.620036563	0	0	0	0	0	0.006133121
Or102	4.410475039	4.183999178	4.533586391	0.004291892	0	0	0.008257942	0.011242717	0	0	0	0	0.007274495	0	0	0.006111905	0	0.102536992	0	0.016279043	0.042069515	1.711151325	0	0	0	0.004270964	0	0.032794054
Or103	80.74929088	73.58508677	49.43661953	0	0	0.057952689	0.03833341	0.090460362	0	0	0	0.002747704	0	0.009084577	0	0.056742992	0	0	0	0.27959962	0	2.879401416	0	0	0	0	0	0.085248858
Or104	89.96615239	108.8768276	88.72252701	0	0	0.085440579	0.071209473	0.096947564	0.028179127	0.040081058	0.015531625	0.031192484	0.017424745	0.032814112	0.049761887	0.491902955	0	0.026793738	0.006823201	0.140376721	0.06449289	7.275297396	0	0	0	0.032737076	0.015923753	0.012568367
Or105	88.51878391	96.80945932	42.99876546	0	0	0.024836889	0	0.041750915	0.154727299	0.14564043	0	0.005495408	0.013507277	0.163522207	0.036163357	0.039720059	0	0	0	0.136021036	0.039057369	1.241120009	0	0	0	0.007930336	0.046289005	0.018267591
Or106	3.995717591	5.346775596	4.140028406	0	0	0.043578932	0.008071206	0.003662823	0	0	0	0	0	0	0	0	0	0.036442988	0	0	0.024670913	1.494758146	0	0.028457737	0	0	0	0
Or107	2.899445833	2.745924234	2.376249177	0	0	0.008298767	0	0	0	0	0	0	0	0	0	0.011375774	0	0	0	0.007574816	0	0.139338102	0	0	0	0	0	0
Or108	0.015786492	0.005491853	0.024247468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
